url,uuid
https://khanacademy.org/math/ap-statistics/random-variables-ap/binomial-random-variable/v/10-percent-rule-independence?qa_expand_key=ag5zfmtoYW4tYWNhZGVteXJACxIIVXNlckRhdGEiHWthaWRfMzYxMTM5MTIxNDEwMjY4MzE4ODEyMzc0DAsSCEZlZWRiYWNrGICAgIDWu5EKDA&qa_expand_type=question,d3028df4d29d48588f8310703c1e0023
https://khanacademy.org/college-careers-more/career-content/support-health-and-wellness/veterinarian/v/betsy-veterinarian-what-i-do-and-how-much-i-make?qa_expand_key=ag5zfmtoYW4tYWNhZGVteXJACxIIVXNlckRhdGEiHWthaWRfOTc2MTA2MTk1Mzk1MzAyNDQ1NzQyNzU2DAsSCEZlZWRiYWNrGICA2Z7PkKYJDA&qa_expand_type=question,bd34fde9b5354cb8bad7c88b12211708
https://khanacademy.org/college-careers-more/career-content/support-health-and-wellness/veterinarian/v/betsy-veterinarian-what-i-do-and-how-much-i-make?qa_expand_key=ag5zfmtoYW4tYWNhZGVteXJACxIIVXNlckRhdGEiHWthaWRfOTc2MTA2MTk1Mzk1MzAyNDQ1NzQyNzU2DAsSCEZlZWRiYWNrGICA2Z7PkKYJDA&qa_expand_type=question,ff3be67036c04f90bf63022ec7e20a39
https://khanacademy.org/math/cc-sixth-grade-math/cc-6th-arithmetic-operations/cc-6th-dividing-fractions/v/dividing-fractions-example?qa_expand_key=ag5zfmtoYW4tYWNhZGVteXJACxIIVXNlckRhdGEiHWthaWRfMzAwNjQ3Mzg3NzY1OTI0Mjc0MTIwOTc4DAsSCEZlZWRiYWNrGICA456y1vELDA&qa_expand_type=answer,9f855d059f7b40429bc3c84b18442fd0
https://khanacademy.org/math/cc-sixth-grade-math/cc-6th-arithmetic-operations/cc-6th-dividing-fractions/v/dividing-fractions-example?qa_expand_key=ag5zfmtoYW4tYWNhZGVteXJACxIIVXNlckRhdGEiHWthaWRfMzAwNjQ3Mzg3NzY1OTI0Mjc0MTIwOTc4DAsSCEZlZWRiYWNrGICA456y1vELDA&qa_expand_type=answer,350dc16f17ca4dcba706038cb00f553d
https://khanacademy.org/math/cc-sixth-grade-math/cc-6th-arithmetic-operations/cc-6th-dividing-fractions/v/dividing-fractions-example?qa_expand_key=ag5zfmtoYW4tYWNhZGVteXJACxIIVXNlckRhdGEiHWthaWRfMzAwNjQ3Mzg3NzY1OTI0Mjc0MTIwOTc4DAsSCEZlZWRiYWNrGICA456y1vELDA&qa_expand_type=answer,4084ac7aba974d10bffb5e4e1270109f
https://khanacademy.org/math/cc-sixth-grade-math/cc-6th-arithmetic-operations/cc-6th-dividing-fractions/v/dividing-fractions-example?qa_expand_key=ag5zfmtoYW4tYWNhZGVteXJACxIIVXNlckRhdGEiHWthaWRfMzAwNjQ3Mzg3NzY1OTI0Mjc0MTIwOTc4DAsSCEZlZWRiYWNrGICA456y1vELDA&qa_expand_type=answer,9f488a67ee82476eb17d18d51024477a
https://khanacademy.org/math/cc-third-grade-math/intro-to-division/imp-relating-multiplication-and-division/v/examples-relating-multiplication-to-division?qa_expand_key=ag5zfmtoYW4tYWNhZGVteXJBCxIIVXNlckRhdGEiHmthaWRfMTA1NTQ5MDAwNzU1ODY3NjEyNjk2NDA4NwwLEghGZWVkYmFjaxiAgICAhrWeCgw&qa_expand_type=question,e41d0e4b2e82495f96213637a4931686
https://khanacademy.org/math/cc-fourth-grade-math/imp-multiplication-and-division-2/imp-comparing-with-multiplication/v/comparisons-subtraction-division?qa_expand_key=ag5zfmtoYW4tYWNhZGVteXJBCxIIVXNlckRhdGEiHmthaWRfMTAwNDY1NjkyMjQ3MzUyODA3OTc1NzMyOQwLEghGZWVkYmFjaxiAgJPpt5KGCAw&qa_expand_type=answer,9b5fd93209ea455fa4cb4ac252eca767
https://khanacademy.org/math/algebra-home/alg-vectors/alg-combined-vector-operations/v/combined-vector-operations-example?qa_expand_key=ag5zfmtoYW4tYWNhZGVteXJACxIIVXNlckRhdGEiHWthaWRfMjcwNjcyODA4NzQ1MzY1NTg1OTMyMjkzDAsSCEZlZWRiYWNrGICAgMCguYMKDA&qa_expand_type=question,c9be82105728487483c95082c2239846
